http://cloc.sourceforge.net v 1.60  T=1.26 s (236.2 files/s, 34733.3 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                          blank        comment           code
C:\dev\VoxelVerse\src\com\voxelengine\utils\MP3Loop.as                                                           31             20            120
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\ModelStatisics.as                                               17             18            119
C:\dev\VoxelVerse\src\com\voxelengine\server\WindowRegister.as                                                   19              8            116
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\AddAxes.as                                 23             17            116
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowInventory.as                                                     17             16            112
C:\dev\VoxelVerse\src\com\voxelengine\utils\Bitlist.as                                                           48             71            111
C:\dev\VoxelVerse\src\com\voxelengine\player\PlayerOld.as                                                        79            478            110
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowGunControl.as                                                    28              4            110
C:\dev\VoxelVerse\src\com\voxelengine\GUI\PanelModelInfoDetail.as                                                14             11            109
C:\dev\VoxelVerse\src\com\voxelengine\renderer\shaders\Shader.as                                                 23             23            108
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\scripts\FireProjectileScript.as                                 17             14            107
C:\dev\VoxelVerse\src\com\voxelengine\GUI\PanelChildModels.as                                                    28             70            106
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Trigger.as                                                      11             21            106
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\OutlineBoundries.as                        27             14            104
C:\dev\VoxelVerse\src\com\voxelengine\renderer\VertexManager.as                                                  15             14            103
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\ZipFile.as                                                       16             77            103
C:\dev\VoxelVerse\src\com\voxelengine\utils\CustomURLLoader.as                                                    8              9            102
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Biomes.as                                                       48            156            101
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowBeastControl.as                                                  26             12             98
C:\dev\VoxelVerse\src\com\voxelengine\server\WindowLogin.as                                                      24             19             98
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\LoadModelFromIVM.as                        23             39             98
C:\dev\VoxelVerse\src\com\voxelengine\GUI\QuickInventory.as                                                      17              2             97
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\print.css                                                   0              0             97
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowOxelUtils.as                                                     28             12             96
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\PerlinNoise2D.as                                                20             16             96
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowBeastControlQuery.as                                             21              1             96
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowShipControlQuery.as                                              25             12             96
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-Z.html                                            0              7             96
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\Animation.as                                                    15             13             95
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\CarveOutsideSurface.as                     16             16             94
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\nochump\util\zip\ZipError.html                              0              9             94
C:\dev\VoxelVerse\src\com\voxelengine\utils\Enum.as                                                              24             19             94
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowRegionDetail.as                                                  18             14             92
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\flowtasks\CylinderOperation.as                            13             17             91
C:\dev\VoxelVerse\src\com\voxelengine\GUI\PanelChildModelsOld.as                                                 13             13             89
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\CarveCloudOutside.as                       15             17             89
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\scripts\BombScript.as                                           19              5             89
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\ZipEntry.as                                                      19             96             85
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\SoundBank.as                                                    19             20             84
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\scripts\ProjectileScript.as                                     17             18             83
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\flowtasks\Flow.as                                         19             34             83
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowHeading.as                                                       16             12             83
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\Test.html                                                   0              9             82
C:\dev\VoxelVerse\src\com\voxelengine\utils\GUID.as                                                              19              8             82
C:\dev\VoxelVerse\src\com\voxelengine\renderer\shaders\ShaderBumpSpec.as                                         19             48             81
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\class-summary.html                                          0              7             81
C:\dev\VoxelVerse\src\com\voxelengine\Log.as                                                                     15             16             79
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-G.html                                            0              7             79
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowModelList.as                                                     18             10             79
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-S.html                                            0              7             78
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\flowtasks\SphereOperation.as                              11             13             78
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\all-index-C.html                                            0              7             77
C:\dev\VoxelVerse\src\com\voxelengine\utils\transitions\properties\TextShortcuts.as                              26             57             74
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowShipControlSimple.as                                             17              4             73
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\tasks\landscapetasks\CompletedModel.as                          12             16             72
C:\dev\VoxelVerse\src\com\voxelengine\utils\Gravity.as                                                           27            318             72
C:\dev\VoxelVerse\src\com\voxelengine\utils\zip\asdoc\nochump\util\zip\package-detail.html                        0              7             72
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowScore.as                                                         17              1             71
C:\dev\VoxelVerse\src\com\voxelengine\renderer\shaders\ShaderAlpha.as                                            20             50             71
C:\dev\VoxelVerse\src\com\voxelengine\GUI\WindowNewModelGenerateCube.as                                          14              0             71
C:\dev\VoxelVerse\src\com\voxelengine\worldmodel\ConfigManager.as                                                14             16             70
